Titre,Auteurs,Année,Source,Citations,DOI,Lien,Terme_recherche
Histological and histomorphometric evaluation of alveolar ridge preservation using an allograft and nonresorbable membrane with and without primary closure: A pilot randomized controlled clinical trial.,"Aladmawy MA, Natto ZS, Kreitzer M, Ogata Y, Hur Y.",2022,Medicine (Baltimore),None,10.1097/md.0000000000029769,https://europepmc.org/article/MED/35777057,"""mineross"""
The Aesthetic Contour Graft - Enhancing peri-implant soft tissue contours and pontic sites with guided bone regeneration.,"Le B, Hayashi N.",2022,J Esthet Restor Dent,None,10.1111/jerd.12865,https://europepmc.org/article/MED/35037745,"""mineross"""
The Use of Tissue Grafts Associated with Immediate Implant Placement to Achieve Better Peri-Implant Stability and Efficacy: A Systematic Review and Meta-Analysis.,"Rondone EM, Leitão-Almeida B, Pereira MS, Fernandes GVO, Borges T.",2024,J Clin Med,None,10.3390/jcm13030821,https://europepmc.org/article/MED/38337515,"""mineross"""
Horizontal augmentation techniques in the mandible: a systematic review.,"Smeets R, Matthies L, Windisch P, Gosau M, Jung R, Brodala N, Stefanini M, Kleinheinz J, Payer M, Henningsen A, Al-Nawas B, Knipfer C.",2022,Int J Implant Dent,None,10.1186/s40729-022-00421-7,https://europepmc.org/article/MED/35532820,"""mineross"""
Socket shield technique and delayed implant placement in maxilla: a series of five case reports.,Shadid RM.,2022,BMC Oral Health,None,10.1186/s12903-022-02149-7,https://europepmc.org/article/MED/35382808,"""mineross"""
Case Report: Treating Severe Atrophic Maxillary Arch with Horizontal Ridge Augmentation.,Gurjar KA.,2021,Clin Cosmet Investig Dent,None,10.2147/ccide.s290609,https://europepmc.org/article/MED/33907471,"""mineross"""
Histopathological Examination of the Effects of Local and Systemic Bisphosphonate Usage in Bone Graft Applications on Bone Healing.,"Demircan S, İşler SC.",2021,J Maxillofac Oral Surg,None,10.1007/s12663-020-01335-w,https://europepmc.org/article/MED/33584056,"""mineross"""
Dimensional changes in soft tissue as a plausible cause for error in computer-aided design and computer-aided manufacturing stent-guided implant osteotomy.,Gandhi Y.,2020,Natl J Maxillofac Surg,None,10.4103/njms.njms_51_20,https://europepmc.org/article/MED/33897200,"""mineross"""
A novel atraumatic extraction technique using vestibular socket therapy for immediate implant placement: a randomized controlled clinical trial.,"Ghallab NA, Elaskary A, Elsabagh H, Toukhy AE, Abdelrahman H, El-Kimary G.",2023,Oral Maxillofac Surg,None,10.1007/s10006-022-01089-4,https://europepmc.org/article/MED/35718834,"""mineross"""
Implants with a Laser-microgrooved Collar Placed in Grafted Posterior Maxillary Extraction Sockets and in Crestally Grafted Sinuses: a 5-Year Multicentre Retrospective Study.,"Guarnieri R, Savio L, Bermonds A, Testarelli L.",2020,J Oral Maxillofac Res,None,10.5037/jomr.2020.11402,https://europepmc.org/article/MED/33598110,"""mineross"""
Comparative analysis of two biomaterials mixed with autogenous bone graft for vertical ridge augmentation: A histomorphometric study in humans.,"Gallo P, Díaz-Báez D, Perdomo S, Aloise AC, Tattan M, Saleh MHA, Pelegrine AA, Ravidà A, Wang HL.",2022,Clin Implant Dent Relat Res,None,10.1111/cid.13124,https://europepmc.org/article/MED/35916287,"""mineross"""
Modified 'Cul-De-Sac' approach for management of a large perforation during maxillary sinus elevation- (A case report).,"Gandhi Y, Kheur M.",2020,J Oral Biol Craniofac Res,None,10.1016/j.jobcr.2020.07.002,https://europepmc.org/article/MED/32775183,"""mineross"""
MIDAS (Minimally Invasive Drilling And Styptic) protocol - A modified approach to treating patients under therapeutic anticoagulants.,"Gandhi Y, Bhatavdekar N.",2019,J Oral Biol Craniofac Res,None,10.1016/j.jobcr.2019.04.006,https://europepmc.org/article/MED/31193025,"""mineross"""
Platelet-Rich Plasma in Maxillary Sinus Augmentation: Systematic Review.,"Ortega-Mejia H, Estrugo-Devesa A, Saka-Herrán C, Ayuso-Montero R, López-López J, Velasco-Ortega E.",2020,Materials (Basel),None,10.3390/ma13030622,https://europepmc.org/article/MED/32019255,"""mineross"""
Bone Grafts and Substitutes in Dentistry: A Review of Current Trends and Developments.,"Zhao R, Yang R, Cooper PR, Khurshid Z, Shavandi A, Ratnayake J.",2021,Molecules,None,10.3390/molecules26103007,https://europepmc.org/article/MED/34070157,"""mineross"""
Fabrication of a screw-retained hybrid prosthesis following treatment of peri-implant defects: a case report.,"Oguz Ahmet BS, Sayin Ozel G, Uslu Toygar H.",2016,J Istanb Univ Fac Dent,None,10.17096/jiufd.57173,https://europepmc.org/article/MED/28955577,"""mineross"""
Immediate implant placement with socket shield technique in the maxilla: a prospective case series evaluation at 1-year follow-up.,Shadid RM.,2022,Head Face Med,None,10.1186/s13005-022-00324-3,https://europepmc.org/article/MED/35689246,"""mineross"""
A Comparison between Primary and Secondary Flap Coverage in Ridge Preservation Procedures: A Pilot Randomized Controlled Clinical Trial.,"Aladmawy MA, Natto ZS, Steffensen B, Levi P, Cheung W, Finkelman M, Ogata Y, Hur Y.",2019,Biomed Res Int,None,10.1155/2019/7679319,https://europepmc.org/article/MED/31531367,"""mineross"""
FDA-approved bone grafts and bone graft substitute devices in bone regeneration.,"Gillman CE, Jayasuriya AC.",2021,Mater Sci Eng C Mater Biol Appl,None,10.1016/j.msec.2021.112466,https://europepmc.org/article/MED/34702541,"""mineross"""
Can Our Blood Help Ensure Antimicrobial and Anti-Inflammatory Properties in Oral and Maxillofacial Surgery?,"Micko L, Salma I, Skadins I, Egle K, Salms G, Dubnika A.",2023,Int J Mol Sci,None,10.3390/ijms24021073,https://europepmc.org/article/MED/36674589,"""mineross"""
Peri-implant plastic surgery techniques to hard and soft tissue augmentation in implant rehabilitation.,"Baltacioğlu E, Korkmaz YT, Korkmaz FM, Aydin G, Sukuroglu E.",2017,J Indian Soc Periodontol,None,10.4103/jisp.jisp_23_16,https://europepmc.org/article/MED/29386805,"""mineross"""
Machine learning-assisted immune profiling stratifies peri-implantitis patients with unique microbial colonization and clinical outcomes.,"Wang CW, Hao Y, Di Gianfilippo R, Sugai J, Li J, Gong W, Kornman KS, Wang HL, Kamada N, Xie Y, Giannobile WV, Lei YL.",2021,Theranostics,None,10.7150/thno.57775,https://europepmc.org/article/MED/34093848,"""mineross"""
Bone Healing in Extraction Sockets Covered With Collagen Membrane Alone or Associated With Porcine-Derived Bone Graft: a Comparative Histological and Histomorphometric Analysis.,"Guarnieri R, Testarelli L, Stefanelli L, De Angelis F, Mencio F, Pompa G, Di Carlo S.",2017,J Oral Maxillofac Res,None,10.5037/jomr.2017.8404,https://europepmc.org/article/MED/29435206,"""mineross"""
Extraction Socket Preservation Using Porcine-Derived Collagen Membrane Alone or Associated with Porcine-Derived Bone. Clinical Results of Randomized Controlled Study.,"Guarnieri R, Stefanelli L, De Angelis F, Mencio F, Pompa G, Di Carlo S.",2017,J Oral Maxillofac Res,None,10.5037/jomr.2017.8305,https://europepmc.org/article/MED/29142657,"""mineross"""
Laser Treatment of Peri-Implantitis: A Systematic Review of Radiographic Outcomes.,"Ting M, Alluri LSC, Sulewski JG, Suzuki JB, Paes Batista da Silva A.",2022,Dent J (Basel),None,10.3390/dj10020020,https://europepmc.org/article/MED/35200245,"""mineross"""
Enhancement of the Regenerative Potential of Anorganic Bovine Bone Graft Utilizing a Polyglutamate-Modified BMP2 Peptide with Improved Binding to Calcium-Containing Materials.,"Bain JL, Bonvallet PP, Abou-Arraj RV, Schupbach P, Reddy MS, Bellis SL.",2015,Tissue Eng Part A,None,10.1089/ten.tea.2015.0160,https://europepmc.org/article/MED/26176902,"""mineross"""
Comparison of Osteoblastic Differentiation of Human Periodontal Ligament Stem Cells through Application of Two β-tricalcium Phosphate Products: An <i>in vitro</i> Study.,"Mirkhani SMH, Amini Sedeh S, Esfahanian V.",2022,J Dent (Shiraz),None,10.30476/dentjods.2021.86700.1350,https://europepmc.org/article/MED/36380833,"""guidor easy-graft"""
A Pilot Retrospective Study on the Effect of Bone Grafting after Wisdom Teeth Extraction.,"Canullo L, Rossi-Fedele G, Camodeca F, Menini M, Pesce P.",2021,Materials (Basel),None,10.3390/ma14112844,https://europepmc.org/article/MED/34073339,"""guidor easy-graft"""
Immediate Implant Placement in Infected Sockets: A Consecutive Cohort Study.,"Kakar A, Kakar K, Leventis MD, Jain G.",2020,J Lasers Med Sci,None,10.34172/jlms.2020.28,https://europepmc.org/article/MED/32273958,"""guidor easy-graft"""
Novel use of cranial epidural space in rabbits as an animal model to investigate bone volume augmentation potential of different bone graft substitutes.,"Valdivia-Gandur I, Engelke W, Beltrán V, Borie E, Fuentes R, Manzanares-Céspedes MC.",2016,Head Face Med,None,10.1186/s13005-016-0131-z,https://europepmc.org/article/MED/27906068,"""guidor easy-graft"""
Evaluation of Poly Lactic-co-Glycolic Acid-Coated β-Tricalcium Phosphate Bone Substitute as a Graft Material for Ridge Preservation after Tooth Extraction in Dog Mandible: A Comparative Study with Conventional β-Tricalcium Phosphate Granules.,"Koga T, Kumazawa S, Okimura Y, Zaitsu Y, Umeshita K, Asahina I.",2020,Materials (Basel),None,10.3390/ma13163452,https://europepmc.org/article/MED/32764407,"""guidor easy-graft"""
In Situ Endoscopic Analysis of Vascular Supply and Regenerated Alveolar Bone in <i>β</i>-TCP Grafted and Ungrafted Postextraction Sites before Implant Placement: A Prospective Case Control Study.,"Beltrán V, Lazzarini M, Figueroa R, Sousa V, Engelke W.",2019,Biomed Res Int,None,10.1155/2019/2797210,https://europepmc.org/article/MED/31781606,"""guidor easy-graft"""
Evaluation of an In Situ Hardening <i>β</i>-Tricalcium Phosphate Graft Material for Alveolar Ridge Preservation. A Histomorphometric Animal Study in Pigs.,"Leventis M, Agrogiannis G, Fairbairn P, Vasiliadis O, Papavasileiou D, Theodoropoulou E, Horowitz R, Kalyvas D.",2018,Dent J (Basel),None,10.3390/dj6030027,https://europepmc.org/article/MED/30004400,"""guidor easy-graft"""
Hard Tissue Preservation in Minimally Invasive Mandibular Third Molar Surgery Using <i>In Situ</i> Hardening TCP Bone Filler.,"Engelke W, Lazzarini M, Beltrán V.",2018,Biomed Res Int,None,10.1155/2018/5274754,https://europepmc.org/article/MED/30534563,"""guidor easy-graft"""
Lateral alveolar ridge augmentation procedure using subperiosteal tunneling technique: a pilot study.,"Kakar A, Kakar K, Sripathi Rao BH, Lindner A, Nagursky H, Jain G, Patney A.",2018,Maxillofac Plast Reconstr Surg,None,10.1186/s40902-018-0142-8,https://europepmc.org/article/MED/30687682,"""guidor easy-graft"""
The effects of hard and soft tissue grafting and individualization of healing abutments at immediate implants: an experimental study in dogs.,"Thoma DS, Jung UW, Gil A, Kim MJ, Paeng KW, Jung RE, Fickl S.",2019,J Periodontal Implant Sci,None,10.5051/jpis.2019.49.3.171,https://europepmc.org/article/MED/31285941,"""guidor easy-graft"""
"Ridge preservation using an in situ hardening biphasic calcium phosphate (β-TCP/HA) bone graft substitute-a clinical, radiological, and histological study.","Kakar A, Rao BHS, Hegde S, Deshpande N, Lindner A, Nagursky H, Patney A, Mahajan H.",2017,Int J Implant Dent,None,10.1186/s40729-017-0086-2,https://europepmc.org/article/MED/28643222,"""guidor easy-graft"""
Natural graft tissues and synthetic biomaterials for periodontal and alveolar bone reconstructive applications: a review.,"Sheikh Z, Hamdan N, Ikeda Y, Grynpas M, Ganss B, Glogauer M.",2017,Biomater Res,None,10.1186/s40824-017-0095-5,https://europepmc.org/article/MED/28593053,"""guidor easy-graft"""
Does alveolar ridge preservation reduce the need for sinus floor elevation: A comparative study to spontaneous healing.,Khoury EJ; Sagheb K; Al-Nawas B; Konig J; Schiegnitz E,2024,Clin Implant Dent Relat Res,NC,10.1111/cid.13391,https://pubmed.ncbi.nlm.nih.gov/39327542/,"""jason membrane"""
Comparison of the Eggshell and the Porcine Pericardium Membranes for Guided Tissue Regeneration Applications.,Opris H; Baciut M; Moldovan M; Cuc S; Petean I; Opris D; Bran S; Onisor FG; Armenea G; Baciut G,2023,Biomedicines,NC,10.3390/biomedicines11092529,https://pubmed.ncbi.nlm.nih.gov/37760970/,"""jason membrane"""
In Vivo Biocompatibility Analysis of a Novel Barrier Membrane Based on Bovine Dermis-Derived Collagen for Guided Bone Regeneration (GBR).,Lindner C; Alkildani S; Stojanovic S; Najman S; Jung O; Barbeck M,2022,Membranes (Basel),NC,10.3390/membranes12040378,https://pubmed.ncbi.nlm.nih.gov/35448348/,"""jason membrane"""
Novel Histomorphometrical Approach to Evaluate the Integration Pattern and Functionality of Barrier Membranes.,Ottenbacher N; Alkildani S; Korzinskas T; Pissarek J; Ulm C; Jung O; Sundag B; Bellmann O; Stojanovic S; Najman S; Zechner W; Barbeck M,2021,Dent J (Basel),NC,10.3390/dj9110127,https://pubmed.ncbi.nlm.nih.gov/34821591/,"""jason membrane"""
In Vitro and In Vivo Biocompatibility Analysis of a New Transparent Collagen-based Wound Membrane for Tissue Regeneration in Different Clinical Indications.,Jung O; Radenkovic M; Stojanovic S; Lindner C; Batinic M; Gorke O; Pissarek J; Prohl A; Najman S; Barbeck M,2020,In Vivo,NC,10.21873/invivo.12040,https://pubmed.ncbi.nlm.nih.gov/32871752/,"""jason membrane"""
Evaluating the adhesion of human gingival fibroblasts and MG-63 osteoblast-like cells to activated PRP-coated membranes.,Vahabi S; Yadegary Z; Karamshahi M,2019,Cell Tissue Bank,NC,10.1007/s10561-019-09772-9,https://pubmed.ncbi.nlm.nih.gov/31098701/,"""jason membrane"""
Case Report: The Sausage Technique using Anorganic Bovine Bone Mineral for Horizontal Bone Augmentation at the Crestal Part of a Posterior Mandibular Ridge: A Case Report.,"Ali A, Khazem M, Karabeit Z.",2024,Non disponible,None,10.12688/f1000research.148754.1,Non disponible,"""jason membrane"""
Occlusive and Proliferative Properties of Different Collagen Membranes-An In Vitro Study.,"Sehgal V, Ruangsawasdi N, Kiattavorncharoen S, Bencharit S, Thanasrisuebwong P.",2023,Materials (Basel),None,10.3390/ma16041657,https://europepmc.org/article/MED/36837285,"""jason membrane"""
3D-Printed Soft Membrane for Periodontal Guided Tissue Regeneration.,"Vahdatinia F, Hooshyarfard A, Jamshidi S, Shojaei S, Patel K, Moeinifard E, Haddadi R, Farhadian M, Gholami L, Tayebi L.",2023,Materials (Basel),None,10.3390/ma16041364,https://europepmc.org/article/MED/36836994,"""jason membrane"""
Comparison of pre and post-operative stresses among Indian patients undergoing intra-oral grafting procedures.,"Senthil G, Selvaganesh S, Nessapan T, Veeraragavan VP, Eswaramoorthy R.",2023,Bioinformation,None,10.6026/97320630019484,https://europepmc.org/article/MED/37822831,"""jason membrane"""
Peri-implant soft tissue contour after stepwise replacement of missing and ankylotic central maxillary incisors in young adult: A clinical case report.,"Gašperšič R, Cmok Kučič A, Volk Gašperšič K, Kosem R.",2021,Clin Case Rep,None,10.1002/ccr3.4960,https://europepmc.org/article/MED/34667613,"""jason membrane"""
Efficacy and volume stability of a customized allogeneic bone block for the reconstruction of advanced alveolar ridge deficiencies at the anterior maxillary region: a retrospective radiographic evaluation.,"Blume O, Back M, Dinya E, Palkovics D, Windisch P.",2023,Clin Oral Investig,None,10.1007/s00784-023-05015-0,https://europepmc.org/article/MED/37055540,"""jason membrane"""
The Characteristics of Demineralized Dentin Material Sponge as Guided Bone Regeneration Based on the FTIR and SEM-EDX Tests.,"Mulyawan I, Danudiningrat CP, Soesilawati P, Aulanni'am A, Yuliati A, Suroto H, Bramantoro T, Rizqiawan A, Moon SY.",2022,Eur J Dent,None,10.1055/s-0042-1743147,https://europepmc.org/article/MED/35279821,"""jason membrane"""
In vitro Cell Proliferation Assay of Demineralized Dentin Material Membrane in Osteoblastic MC3T3-E1 Cells.,"Soesilawati P, Rizqiawan A, Roestamadji RI, Arrosyad AR, Firdauzy MAB, Abu Kasim NH.",2021,Clin Cosmet Investig Dent,None,10.2147/ccide.s313184,https://europepmc.org/article/MED/34744460,"""jason membrane"""
Customized Allogeneic Bone Augmentation Improves Esthetic Outcome in Anteromaxillary Dental Implantation.,"Nilius M, Nilius MH, Mueller C, Weiland B, Haim D, Krahe A, Lauer G.",2022,Case Rep Dent,None,10.1155/2022/6943930,https://europepmc.org/article/MED/35360384,"""jason membrane"""
Implant Placement after Closure of Oroantral Communication by Sinus Bone Graft Using a Collagen Barrier Membrane in the Shape of a Pouch: A Case Report and Review of the Literature.,"Baek JH, Kim BO, Lee WP.",2021,Medicina (Kaunas),None,10.3390/medicina57060626,https://europepmc.org/article/MED/34208644,"""jason membrane"""
Comparison of Attachment and Proliferation of Human Gingival Fibroblasts on Different Collagen Membranes.,"Talebi Ardakani MR, Hajizadeh F, Yadegari Z.",2018,Ann Maxillofac Surg,None,10.4103/ams.ams_150_17,https://europepmc.org/article/MED/30693235,"""jason membrane"""
Biphasic bone substitutes coated with PLGA incorporating therapeutic ions Sr<sup>2+</sup> and Mg<sup>2+</sup>: cytotoxicity cascade and <i>in vivo</i> response of immune and bone regeneration.,"Ren Y, Jung O, Batinic M, Burckhardt K, Görke O, Alkildani S, Köwitsch A, Najman S, Stojanovic S, Liu L, Prade I, Barbeck M.",2024,Front Bioeng Biotechnol,None,10.3389/fbioe.2024.1408702,https://europepmc.org/article/MED/38978719,"""jason membrane"""
Demineralized Freeze-Dried Bovine Cortical Bone: Its Potential for Guided Bone Regeneration Membrane.,"Kamadjaja DB, Harijadi A, Soesilawati P, Wahyuni E, Maulidah N, Fauzi A, Rah Ayu F, Simanjuntak R, Soesanto R, Asmara D, Rizqiawan A, Agus P, Pramono C.",2017,Int J Dent,None,10.1155/2017/5149675,https://europepmc.org/article/MED/28947902,"""jason membrane"""
Advanced backward planning with custom-milled individual allogeneic block augmentation for maxillary full-arch osteoplasty and dental implantation:a 3-year follow-up.,"Nilius M, Mueller C, Nilius MH, Haim D, Weiland B, Lauer G.",2022,Cell Tissue Bank,None,10.1007/s10561-021-09947-3,https://europepmc.org/article/MED/34374000,"""jason membrane"""
Hard Tissue Volume Stability Effect beyond the Bony Envelope of a Three-Dimensional Preformed Titanium Mesh with Two Different Collagen Barrier Membranes on Peri-Implant Dehiscence Defects in the Anterior Maxilla: A Randomized Clinical Trial.,"Lee SR, Jang TS, Seo CS, Choi IO, Lee WP.",2021,Materials (Basel),None,10.3390/ma14195618,https://europepmc.org/article/MED/34640019,"""jason membrane"""
Characterization of circulating molecules and activities in plasma of patients after allogeneic and autologous intraoral bone grafting procedures: a prospective randomized controlled clinical trial in humans.,"Solakoglu Ö, Steinbach B, Götz W, Heydecke G, Schwarzenbach H.",2022,BMC Oral Health,None,10.1186/s12903-021-02036-7,https://europepmc.org/article/MED/35094679,"""jason membrane"""
In Vitro Feasibility Analysis of a New Sutureless Wound-Closure System Based on a Temperature-Regulated Laser and a Transparent Collagen Membrane for Laser Tissue Soldering (LTS).,"Birkelbach MA, Smeets R, Fiedler I, Kluwe L, Wehner M, Trebst T, Hartjen P.",2020,Int J Mol Sci,None,10.3390/ijms21197104,https://europepmc.org/article/MED/32993100,"""jason membrane"""
Biocompatibility and Immune Response of a Newly Developed Volume-Stable Magnesium-Based Barrier Membrane in Combination with a PVD Coating for Guided Bone Regeneration (GBR).,"Steigmann L, Jung O, Kieferle W, Stojanovic S, Proehl A, Görke O, Emmert S, Najman S, Barbeck M, Rothamel D.",2020,Biomedicines,None,10.3390/biomedicines8120636,https://europepmc.org/article/MED/33419327,"""jason membrane"""
Evaluation of efficacy of platelet-rich fibrin membrane and bone graft in coverage of immediate dental implant in esthetic zone: An <i>in vivo</i> study.,"Soni R, Priya A, Agrawal R, Bhatnagar A, Kumar L.",2020,Natl J Maxillofac Surg,None,10.4103/njms.njms_26_19,https://europepmc.org/article/MED/33041580,"""jason membrane"""
Comparative In Vivo Analysis of the Integration Behavior and Immune Response of Collagen-Based Dental Barrier Membranes for Guided Bone Regeneration (GBR).,"Radenković M, Alkildani S, Stoewe I, Bielenstein J, Sundag B, Bellmann O, Jung O, Najman S, Stojanović S, Barbeck M.",2021,Membranes (Basel),None,10.3390/membranes11090712,https://europepmc.org/article/MED/34564529,"""jason membrane"""
Can the Macrogeometry of Dental Implants Influence Guided Bone Regeneration in Buccal Bone Defects? Histomorphometric and Biomechanical Analysis in Beagle Dogs.,"Fernández-Domínguez M, Ortega-Asensio V, Fuentes-Numancia E, Aragoneses JM, Barbu HM, Ramírez-Fernández MP, Delgado-Ruiz RA, Calvo-Guirado JL, Samet N, Gehrke SA.",2019,J Clin Med,None,10.3390/jcm8050618,https://europepmc.org/article/MED/31067735,"""jason membrane"""
The Condensation of Collagen Leads to an Extended Standing Time and a Decreased Pro-inflammatory Tissue Response to a Newly Developed Pericardium-based Barrier Membrane for Guided Bone Regeneration.,"Gueldenpfennig T, Houshmand A, Najman S, Stojanovic S, Korzinskas T, Smeets R, Gosau M, Pissarek J, Emmert S, Jung O, Barbeck M.",2020,In Vivo,None,10.21873/invivo.11867,https://europepmc.org/article/MED/32354884,"""jason membrane"""
The Addition of High Doses of Hyaluronic Acid to a Biphasic Bone Substitute Decreases the Proinflammatory Tissue Response.,"Sieger D, Korzinskas T, Jung O, Stojanovic S, Wenisch S, Smeets R, Gosau M, Schnettler R, Najman S, Barbeck M.",2019,Int J Mol Sci,None,10.3390/ijms20081969,https://europepmc.org/article/MED/31013636,"""jason membrane"""
Assessment of implant stability following sinus lift procedures with different grafting materials.,"Jelušić D, Puhar I, Plančak D.",2014,Acta Stomatol Croat,None,10.15644/asc48/1/3,https://europepmc.org/article/MED/27688348,"""jason membrane"""
Histological and immunohistochemical comparison of two different allogeneic bone grafting materials for alveolar ridge reconstruction: A prospective randomized trial in humans.,"Solakoglu Ö, Götz W, Heydecke G, Schwarzenbach H.",2019,Clin Implant Dent Relat Res,None,10.1111/cid.12824,https://europepmc.org/article/MED/31424173,"""jason membrane"""
Guided bone regeneration: materials and biological mechanisms revisited.,"Elgali I, Omar O, Dahlin C, Thomsen P.",2017,Eur J Oral Sci,None,10.1111/eos.12364,https://europepmc.org/article/MED/28833567,"""jason membrane"""
"A Histologic, Histomorphometric, and Immunohistochemical Evaluation of Anorganic Bovine Bone and Injectable Biphasic Calcium Phosphate in Humans: A Randomized Clinical Trial.",Tomas M; Karl M; Candrlic M; Matijevic M; Juzbasic M; Peloza OC; Radetic ATJ; Kuis D; Vidakovic B; Ivanisevic Z; Kacarevic ZP,2023,Int J Mol Sci,NC,10.3390/ijms24065539,https://pubmed.ncbi.nlm.nih.gov/36982613/,"""maxresorb"""
Biofunctionalization with a TGFbeta-1 Inhibitor Peptide in the Osseointegration of Synthetic Bone Grafts: An In Vivo Study in Beagle Dogs.,Cirera A; Manzanares MC; Sevilla P; Ortiz-Hernandez M; Galindo-Moreno P; Gil J,2019,Materials (Basel),NC,10.3390/ma12193168,https://pubmed.ncbi.nlm.nih.gov/31569702/,"""maxresorb"""
In vitro evaluation of an injectable biphasic calcium phosphate (BCP) carrier system combined with recombinant human bone morphogenetic protein (rhBMP)-9.,Fujioka-Kobayashi M; Schaller B; Zhang Y; Pippenger BE; Miron RJ,2017,Biomed Mater Eng,NC,10.3233/BME-171675,https://pubmed.ncbi.nlm.nih.gov/28527192/,"""maxresorb"""
Recombinant human bone morphogenetic protein (rhBMP)9 induces osteoblast differentiation when combined with demineralized freeze-dried bone allografts (DFDBAs) or biphasic calcium phosphate (BCP).,Fujioka-Kobayashi M; Schaller B; Zhang Y; Kandalam U; Hernandez M; Miron RJ,2017,Clin Oral Investig,NC,10.1007/s00784-016-1983-0,https://pubmed.ncbi.nlm.nih.gov/27771827/,"""maxresorb"""
Monophasic ss-TCP vs. biphasic HA/ss-TCP in two-stage sinus floor augmentation procedures - a prospective randomized clinical trial.,Jelusic D; Zirk ML; Fienitz T; Plancak D; Puhar I; Rothamel D,2017,Clin Oral Implants Res,NC,10.1111/clr.12983,https://pubmed.ncbi.nlm.nih.gov/27683073/,"""maxresorb"""
Evaluation of a Granular Bone Substitute for Bone Regeneration Using an Optimized In Vivo Alveolar Cleft Model.,"Destrez A, Colin E, Testelin S, Devauchelle B, Dakpé S, Naudot M.",2023,Bioengineering (Basel),None,10.3390/bioengineering10091035,https://europepmc.org/article/MED/37760137,"""maxresorb"""
Maxillary Sinus Augmentation Using Ceramic Alloplastic Granules or Paste: An Experimental Study in Rabbits.,"Costa MM, Botticelli D, Moses O, Omori Y, Fujiwara S, Silva ER, Xavier SP.",2021,Dent J (Basel),None,10.3390/dj9060065,https://europepmc.org/article/MED/34205201,"""maxresorb"""
Application of 4MATRIX and PRF in the Treatment of Infrabone Defects in Chronic Periodontopathy.,"Reçica B, Popovska M, Tefiku U, Bedhxeti LZ, Bimbashi V.",2021,Med Arch,None,10.5455/medarh.2021.75.390-394,https://europepmc.org/article/MED/35169364,"""maxresorb"""
Implantation of an Injectable Bone Substitute Material Enables Integration Following the Principles of Guided Bone Regeneration.,"Barbeck M, Jung O, Smeets R, Gosau M, Schnettler R, Rider P, Houshmand A, Korzinskas T.",2020,In Vivo,None,10.21873/invivo.11808,https://europepmc.org/article/MED/32111754,"""maxresorb"""
Evaluation of Efficacy of Surgical Periodontal Therapy with the Use of Bone Graft in the Treatment of Periodontal Intrabony Defects.,"Gojkov-Vukelic M, Hadzic S, Pasic E.",2017,Med Arch,None,10.5455/medarh.2017.71.208-211,https://europepmc.org/article/MED/28974835,"""maxresorb"""
Evaluation of Peri-Implant Bone Grafting Around Surface-Porous Dental Implants: An In Vivo Study in a Goat Model.,"Alshehri F, Alshehri M, Sumague T, Niazy A, Jansen J, van den Beucken J, Alghamdi H.",2019,Materials (Basel),None,10.3390/ma12213606,https://europepmc.org/article/MED/31684138,"""maxresorb"""
Synthetic Injectable Biomaterials for Alveolar Bone Regeneration in Animal and Human Studies.,"Tomas M, Čandrlić M, Juzbašić M, Ivanišević Z, Matijević N, Včev A, Cvijanović Peloza O, Matijević M, Perić Kačarević Ž.",2021,Materials (Basel),None,10.3390/ma14112858,https://europepmc.org/article/MED/34073551,"""maxresorb"""
The impact of the size of bone substitute granules on macrophage and osteoblast behaviors in vitro.,"Fujioka-Kobayashi M, Katagiri H, Kono M, Schaller B, Iizuka T, Safi AF.",2021,Clin Oral Investig,None,10.1007/s00784-021-03804-z,https://europepmc.org/article/MED/33538898,"""maxresorb"""
In vitro evaluation of an injectable biphasic calcium phosphate (BCP) carrier system combined with recombinant human bone morphogenetic protein (rhBMP)-9.,"Fujioka-Kobayashi M, Schaller B, Zhang Y, Pippenger BE, Miron RJ.",2017,Biomed Mater Eng,None,10.3233/bme-171675,https://europepmc.org/article/MED/28527192,"""maxresorb"""
Bone regeneration using composite non-demineralized xenogenic dentin with beta-tricalcium phosphate in experimental alveolar cleft repair in a rabbit model.,"Kamal M, Andersson L, Tolba R, Al-Asfour A, Bartella AK, Gremse F, Rosenhain S, Hölzle F, Kessler P, Lethaus B.",2017,J Transl Med,None,10.1186/s12967-017-1369-3,https://europepmc.org/article/MED/29274638,"""maxresorb"""
Histological and Radiological Features of a Four-Phase Injectable Synthetic Bone Graft in Guided Bone Regeneration: A Case Report.,"Čandrlić M, Perić Kačarević Ž, Ivanišević Z, Tomas M, Včev A, Faj D, Matijević M.",2020,Int J Environ Res Public Health,None,10.3390/ijerph18010206,https://europepmc.org/article/MED/33383971,"""maxresorb"""
Development of root resorption during orthodontic tooth movement after cleft repair using different grafting materials in rats.,"Möhlhenrich SC, Kniha K, Magnuska Z, Chhatwani S, Hermanns-Sachweh B, Gremse F, Hölzle F, Danesh G, Modabber A.",2022,Clin Oral Investig,None,10.1007/s00784-022-04537-3,https://europepmc.org/article/MED/35567639,"""maxresorb"""
Evaluation of implant-materials as cell carriers for dental stem cells under in vitro conditions.,"Gosau M, Viale-Bouroncle S, Eickhoff H, Prateeptongkum E, Reck A, Götz W, Klingelhöffer C, Müller S, Morsczeck C.",2015,Int J Implant Dent,None,10.1186/s40729-014-0002-y,https://europepmc.org/article/MED/27747624,"""maxresorb"""
